drug_id,function_description,components,label
TCMF9968,胃痛，胃溃疡，十二指肠溃疡，慢性胃炎。,甘草，茯苓，白及，白芍，三七，延胡索,海螵蛸
TCMF11961,胃痛，胃溃疡，十二指肠溃疡，慢性胃炎。,黄芪，木香，陈皮，没药，延胡索，马齿苋，地榆，白及，马兜铃，沉香,威灵仙
TCMFx6251,"咳嗽, 腹胀, 便秘",玄参，麦冬，苦杏仁，胆南星，紫苏子，焦槟榔，天花粉，紫苏叶，川贝母，知母，瓜蒌子，桔梗，竹茹，桑白皮,甘草
TCMFx7127,温邪头痛，目赤口渴，湿热郁滞等。,金银花，菊花，白茅根，通草，大枣,甘草
TCMF7369,跌打损伤，瘀血肿痛，筋骨疼痛。,当归，川芎，赤芍，红花，丹参，乳香，没药，牛膝，泽兰，三七，甘草,桃仁
TCMF10711,风湿痹痛，肢体麻木，腰腿疼痛，跌打损伤。,苏木，路路通，大黄，草乌，川乌，栀子，独活，羌活，半夏，天南星，花椒,木瓜
TCMF11458,外感风热，发热头痛，咳嗽咽痛，惊风抽搐。,黄芩，天花粉，连翘，金银花，板蓝根，石菖蒲，玄参，紫草，水牛角,淡豆豉
TCMF11559,风湿痹痛，跌打损伤，筋骨疼痛，腰腿酸痛。,没药，乳香，木鳖子，红花，大黄，马钱子，草乌，赤芍，川乌，附子，金银花，白芷，黄柏，肉桂，血竭，乌梢蛇,冰片
TCMF11130,脾胃虚寒，脘腹冷痛，呕吐泄泻，四肢不温。,附子，肉桂，炙甘草，豆蔻，木香，细辛，白芷，当归，蛇床子，檀香，丁香，母丁香，花椒，橘红，吴茱萸,砂仁
TCMF9404,肾虚腰痛，阳痿早泄，神疲乏力，头晕耳鸣。,鹿茸，肉苁蓉，人参，炙黄芪，熟地黄，当归，巴戟天，山茱萸，山药,沙苑子
TCMF6401,"眩晕, 不寐, 健忘",党参，人参，茯苓，黄芪，白术，山药，何首乌，当归，熟地黄，川芎，泽泻，牡丹皮，牛膝，白芍，杜仲叶，续断，红花，三七，甘草，黄精，陈皮,阿胶
TCMF10313,心脾两虚，失眠多梦，头晕目眩，记忆力减退。,人参，淫羊藿，甘草，干姜，菊花，天麻,酸枣仁
TCMF2424,"带下病, 腹泻",白术，泽泻，茯苓，椿皮,车前子
TCMF9054,湿热蕴结所致的水肿、淋证、小便不利。,丹参，黄芪，茯苓，白术，川芎，桑白皮,大黄
TCMF11404,血瘀证，胸痹心痛，月经不调，痛经。,丹参，黄芪，三棱，莪术，片姜黄，红花，木香，细辛，赤芍，黄连，牡丹皮，桃仁，川芎，延胡索，吴茱萸,枳壳
TCMF10606,阴阳两虚，腰膝酸软，头晕耳鸣，失眠多梦，遗精盗汗。,黄芪，当归，白芍，川芎，熟地黄，枸杞子，菟丝子，巴戟天，肉苁蓉,淫羊藿
TCMF9448,乳腺增生，乳房胀痛，乳腺结节。,莪术，赤芍，玫瑰花，柴胡，川芎，当归，延胡索，牡蛎，僵蚕，鳖甲,夏枯草
TCMF7917,肾阳不足，腰膝酸软，气短乏力，脾胃虚弱。,巴戟天，瓜蒌，当归，白术，茯苓，甘草,黄芪
TCMF8588,冠心病，心绞痛，心肌缺血，胸闷，心悸。,丹参，川芎，薤白，降香，郁金，黄芪，当归，首乌藤，葛根，决明子，安息香，苏合香，乳香，没药，白芷，土木香，沉香，香附，菊花,赤芍
TCMF10123,肝郁气滞，月经不调，痛经，乳房胀痛。,香附，当归，白芍，川芎，熟地黄，黄芩，砂仁，陈皮,白术
TCMF9565,心悸失眠，气短乏力，头晕目眩，腰膝酸软。,人参，鹿茸，蛤蚧，砂仁，红花，莲子心，龙眼肉，三七，地龙，羚羊角,海马
TCMFx178,疳病,太子参，北沙参，茯苓，山药，麦芽，陈皮，白芍，白扁豆，麦冬，葛根,山楂
TCMFx3055,腹胀,沉香，砂仁，苍术，枳实，麦芽，青皮，紫苏叶，川芎，桔梗，茯苓，甘草，栀子，厚朴，香附，木香，山楂，陈皮，广藿香，荆芥，白芷，防风，薄荷，半夏，白芍，葛根,细辛
TCMF8711,咳嗽痰多，胸闷气促，咽喉不适。,石膏，浙贝母，麦冬，瓜蒌皮，紫苏子，苦杏仁，茯苓，半夏，陈皮，桔梗，款冬花，紫菀，甘草,化橘红
TCMF12168,肾虚精亏，腰膝酸软，头晕耳鸣，遗精早泄，阳痿不育。,杜仲，巴戟天，淫羊藿，熟地黄，山茱萸，人参，鹿茸，天麻，附子，肉桂，菟丝子，当归，山药，蜈蚣,枸杞子
TCMF10162,消渴，口渴多饮，多尿，消瘦乏力。,白术，桔梗，枇杷叶，银杏叶,麻黄
TCMFx5196,眩晕,山楂，菊花,枸杞子
TCMF9893,风湿痹痛，关节肿胀，肢体麻木，腰腿疼痛。,白术，苦参，防己，薏苡仁，豨莶草，连翘，苦杏仁，法半夏，通草，滑石粉,黄柏
TCMF10022,气血两虚，月经不调，头晕目眩，腰膝酸软。,黄芪，党参，当归，熟地黄，白芍，菟丝子，川芎，香附，茯苓，山药，巴戟天，续断，甘草,女贞子
TCMF8964,感冒风寒，发热恶寒，头痛身痛，鼻塞流涕，咳嗽痰多。,桂枝，薄荷，防风，羌活，桔梗，前胡，苦杏仁，生姜，大枣，白芍，甘草，陈皮，枳壳，蜂蜜,麻黄
TCMF9222,前列腺炎，尿频，尿急，尿痛，腰膝酸软。,土茯苓，苦参，薏苡仁，白术，虎杖，大黄，金樱子，泽泻，鹿茸，蜈蚣,川木通
TCMF9399,湿疹，皮炎，皮肤瘙痒，荨麻疹,苦参，蒲公英，马鞭草，五倍子，蛇床子，花椒，白矾,百部
TCMF10996,肾虚腰痛，腰膝酸软，畏寒肢冷，神疲乏力，头晕耳鸣。,鹿茸，肉苁蓉，熟地黄，枸杞子，菟丝子，黄芪，红参，当归，白芍，茯苓，白术，山药，牛膝，陈皮，小茴香，肉桂，甘草,巴戟天
TCMF10032,小儿疮疖、痱毒、咽喉肿痛、口舌生疮、牙龈出血。,黄连，连翘，玄参，牛蒡子，桔梗，甘草,赤芍
TCMF10183,外感发热，头痛身痛，口渴咽痛，便秘尿赤。,知母，黄芩，荆芥穗，青蒿，大黄，牡丹皮，柴胡，槟榔,厚朴
TCMF11614,肝气郁结，胁肋胀痛，胸闷不舒，情绪抑郁。,广藿香，茯苓，没药，乳香，天竺黄，豆蔻，砂仁，白术，木香，白及，制何首乌，细辛，黄连，厚朴，钩藤，木瓜，沉香，柴胡，川芎,白芷
TCMF7789,风湿痹阻、瘀血阻络所致的痹病，症见关节疼痛、肿胀、屈伸不利、局部畏风寒、肢体麻木、腰膝酸软。,鸡血藤，没药，乳香，苍术，红花，威灵仙，土鳖虫，乌梢蛇，全蝎，金钱白花蛇，蜈蚣，蜂房，蕲蛇,地龙
TCMF3252,"滑胎, 小产, 难产",荆芥炭，川芎，甘草，菟丝子，厚朴，羌活，川贝母，当归，黄芪，白芍，枳壳,艾叶
TCMF10285,咳嗽，气喘，痰多，胸闷。,川贝母，麦冬，知母，紫苏叶，麻黄，五味子，苦杏仁，前胡，银杏叶，橘红，枳壳，槟榔，松花粉，石膏,竹茹
TCMF9196,气血两虚，头晕目眩，心悸失眠，食欲不振。,黄芪，人参，葛根,三七
TCMFx4390,"积滞, 急惊风, 麻疹",天南星，僵蚕，白附子，天竺黄，天麻，荆芥穗，薄荷，牛蒡子，柴胡，葛根，川乌，桔梗，陈皮，木香，黄芩，黄连，莲子心，玄参，西河柳，滑石，雄黄，麝香，冰片，牛黄，朱砂,大黄
TCMF10102,肾虚腰痛，头晕耳鸣，阳痿早泄，神疲乏力。,鹿茸，蛤蚧，补骨脂，肉苁蓉，巴戟天，淫羊藿，黄芪，人参，麦冬，枸杞子，菟丝子,杜仲
TCMFx49,"心悸, 胸闷, 心烦, 冠心病, 病毒性心肌炎引起的轻, 中度室性过早搏动见上述症状者",黄连，茯苓，常山，苦参，人参，甘草，半夏，莲子心，青蒿，麦冬,枳实
TCMF9180,肝肾不足，气血两虚，头晕目眩，腰膝酸软，须发早白，遗精早泄。,黄芪，党参，丹参，制何首乌，枸杞子，桑椹，白芍，覆盆子，菟丝子，山药，锁阳，郁金，青皮,淫羊藿
TCMF11366,肝肾不足，气血亏损，须发早白，头晕目眩，腰膝酸软。,黄精，制何首乌，柏子仁，杜仲，茯苓，白芍，女贞子，枸杞子，山茱萸，黄连，牡丹皮，五味子，木瓜，川芎，当归，桑椹，桑叶，大枣,羌活
TCMF9143,肺虚咳嗽，气短乏力，痰多喘促。,黄芪，北沙参，百合，麦冬，熟地黄，百部，川贝母，白果，冬虫夏草，蛤蚧，茯苓，薏苡仁，蒲公英，牡蛎,白及
TCMF9746,咽喉肿痛，口腔溃疡，牙龈肿痛。,麦冬，黄芩，山豆根，西瓜霜，金银花，防风，射干，甘草，冰片,玄参
TCMF569,"便溏久泻, 肛门下坠或脱肛, 子宫脱垂",黄芪，党参，甘草，当归，白术，升麻，陈皮，生姜，大枣,柴胡
TCMF11703,气滞血瘀所致的胸胁胀痛，月经不调，痛经。,丹参，红花，木香，柴胡，香附，大黄，赤芍，牡丹皮，川芎，当归，牛膝，延胡索，枳壳,桃仁
TCMF7168,身体虚弱，精神疲乏，腰腿酸软，头晕目眩，肾亏精冷，性欲减退，夜多小便，健忘失眠。,鹿角胶，龟甲胶，淫羊藿，续断，锁阳，狗脊，菟丝子，覆盆子，金樱子，山药，何首乌，黄芪，陈皮，酸枣仁，炙甘草,熟地黄
TCMF8969,肠燥便秘,大黄，苦杏仁，白芍，厚朴，枳实,火麻仁
TCMF8121,风寒感冒，头痛发热，鼻塞流涕，咳嗽痰多，肢体酸痛。,紫苏叶，桂枝，防风，独活，生姜，桔梗，白芍，苦杏仁，谷芽，大枣,甘草
TCMF9001,冠心病，心绞痛，心肌梗死，心律失常,没药，乳香，沉香，葶苈子，血竭，冰片，人工牛黄，蟾酥，麝香，珍珠，雄黄,朱砂
TCMF10171,糖尿病及其并发症，如糖尿病肾病、糖尿病视网膜病变等。,丹参，黄芪，川芎，水蛭,葛根
TCMFx704,乳疬,香附，川芎，白芍，熟地黄，白术，砂仁，陈皮，黄芩,当归
TCMF9703,高脂血症，高血压，肥胖症,决明子，山楂,何首乌
TCMF10278,小儿腹泻，消化不良，腹痛。,黄芩，大黄，荆芥，麻黄，胡椒，马钱子，牡丹皮，白芷，当归，独活，防风，羌活，骨碎补，丁香，玄参，黄柏，肉桂，吴茱萸,赤芍
TCMF10707,肝郁气滞，肝肾阴虚，头晕耳鸣，胁痛胸闷。,郁金，女贞子，香附，陈皮,墨旱莲
TCMF11344,脾胃虚弱，食积停滞，脘腹胀痛，消化不良。,三棱，莪术，草果，白术，川木香，木香，大黄，厚朴，山楂，阿魏，当归，香附，莱菔子，法半夏，牵牛子，陈皮，吴茱萸，槟榔，甘草,砂仁
TCMFx5264,虚劳,白术，当归，杜仲，枸杞子，茯苓，白芍，山药，党参，熟地黄，酸枣仁，砂仁，丹参，甘草，鹿茸，黄芪，肉桂，远志，陈皮，川芎,人参
TCMF8396,跌打损伤，骨折，筋骨疼痛，瘀血肿痛。,黄藤，苏木，乳香，血竭，自然铜，土鳖虫，骨碎补，续断，杜仲，牛膝，木香，香附，延胡索，冰片,没药
TCMF8511,糖尿病及其并发症，如糖尿病肾病、糖尿病视网膜病变等。,黄精，麦冬，天冬，丹参，益母草，鸡血藤，葛根，黄芪，天花粉，苍术，赤芍，黄连，威灵仙，川芎，太子参，荔枝核，川牛膝，水蛭,玄参
TCMF9983,胃脘疼痛，胀满不适，嗳气吞酸，慢性胃炎，胃溃疡。,丹参，砂仁，香附，诃子，高良姜,檀香
TCMF10684,寒湿痹痛，脾胃虚寒，心悸失眠。,制草乌，肉豆蔻，沉香，石菖蒲，珍珠，磁石,丁香
TCMF8382,肝火旺盛，目赤肿痛，视物昏花，头痛眩晕。,黄连，黄柏，龙胆，决明子，石决明，茺蔚子，密蒙花，木贼，柴胡，胡黄连,黄芩
TCMF8686,胸痹心痛，心悸气短，胸闷憋气，失眠健忘。,沉香，肉豆蔻，当归，广枣，木棉花，诃子，西洋参,川木香
TCMF12063,脾胃虚寒，腹痛泄泻，四肢不温，食欲不振。,干姜，附子，党参，茯苓，陈皮，半夏，炙甘草，生姜，大枣,白术
TCMF11118,目赤肿痛，眼眵多泪，羞明怕光，头痛眩晕。,龙胆，黄连，菊花，荆芥，决明子，谷精草，蒺藜，密蒙花，赤芍，木贼，栀子，白芷，防风，桑白皮，桑叶，黄柏，冰片，牛黄，蝉蜕,薄荷
TCMF7544,"理气疏肝, 消积和胃。用于肝胃气滞, 脘腹胀痛, 胸膈痞满, 不思饮食, 嗳气泛酸。",沉香，木香，砂仁，陈皮，莪术，延胡索，乌药，枳壳，厚朴，香附，谷芽，麦芽,甘草
TCMF11498,气血两虚，免疫力低下，疲劳乏力。,黄芪，白芍，淫羊藿,灵芝
TCMFx2911,白驳风,三七，红花，牡丹皮，桃仁，防风，苍术，白芷，马齿苋，赤芍，黄芪,当归
TCMF9165,气滞血瘀所致的胸痹心痛，心悸气短，冠心病心绞痛。,黄芪，当归，川芎，红花，赤芍，桃仁，地龙,丹参
TCMF8984,风湿痹痛，肢体麻木，瘫痹拘挛，屈伸不利。,黄芪，甘草，苍术，薏苡仁，金银花，黄柏，当归，白芍，水蛭，全蝎，蜈蚣,玄参
TCMF8456,肥胖症，高脂血症。,黄芪，白术，防风，茯苓，泽泻，山楂，大黄,决明子
TCMF11144,风寒湿痹，关节疼痛，肢体麻木，腰腿疼痛。,麻黄，桂枝，羌活，独活，川芎，当归，乳香，没药，马钱子，附子，制草乌，制川乌，木瓜,川牛膝
TCMF10084,气阴两虚，心悸失眠，腰膝酸软，体倦乏力。,西洋参，黄精，黄芪，杜仲，茯苓，制何首乌，金樱子，枸杞子，山药，龙眼肉,蛤蚧
